time,open,high,low,close,volume,symbols,date-first,month-first,minutes
2022-03-25 14:10:00,130.78,130.8418,130.78,130.84,5739,my_symbols,26/04/2022,05/26/2022,02:10:00 PM
2022-03-25 14:09:00,130.8,130.82,130.78,130.7864,4241,my_symbols,26/04/2022,05/26/2022,02:09:00 PM
2022-03-25 14:08:00,130.83,130.8315,130.79,130.81,5809,my_symbols,26/04/2022,05/26/2022,02:08:00 PM
2022-03-25 14:07:00,130.84,130.85,130.82,130.82,4516,my_symbols,26/04/2022,05/26/2022,02:07:00 PM
2022-03-25 14:06:00,130.8,130.83,130.8,130.83,4457,my_symbols,26/04/2022,05/26/2022,02:06:00 PM
2022-03-25 14:05:00,130.805,130.82,130.7871,130.8,2910,my_symbols,26/04/2022,05/26/2022,02:05:00 PM
2022-03-25 14:04:00,130.8,130.83,130.79,130.8,9185,my_symbols,26/04/2022,05/26/2022,02:04:00 PM
2022-03-25 14:03:00,130.785,130.7947,130.76,130.79,5441,my_symbols,26/04/2022,05/26/2022,02:03:00 PM
2022-03-25 14:02:00,130.7866,130.79,130.76,130.7753,2336,my_symbols,26/04/2022,05/26/2022,02:02:00 PM
2022-03-25 14:01:00,130.795,130.83,130.76,130.77,10910,my_symbols,26/04/2022,05/26/2022,02:01:00 PM
2022-03-25 14:00:00,130.85,130.85,130.78,130.78,4967,my_symbols,26/04/2022,05/26/2022,02:00:00 PM
2022-03-25 13:59:00,130.77,130.85,130.77,130.85,3688,my_symbols,26/04/2022,05/26/2022,01:59:00 PM
2022-03-25 13:58:00,130.75,130.77,130.74,130.75,3089,my_symbols,26/04/2022,05/26/2022,01:58:00 PM
2022-03-25 13:57:00,130.74,130.77,130.73,130.7398,5271,my_symbols,26/04/2022,05/26/2022,01:57:00 PM
2022-03-25 13:56:00,130.685,130.7397,130.685,130.73,3203,my_symbols,26/04/2022,05/26/2022,01:56:00 PM
2022-03-25 13:55:00,130.67,130.67,130.65,130.655,2037,my_symbols,26/04/2022,05/26/2022,01:55:00 PM
2022-03-25 13:54:00,130.67,130.6984,130.6644,130.6984,2534,my_symbols,26/04/2022,05/26/2022,01:54:00 PM
2022-03-25 13:53:00,130.69,130.7,130.66,130.66,6106,my_symbols,26/04/2022,05/26/2022,01:53:00 PM
2022-03-25 13:52:00,130.73,130.73,130.62,130.68,6726,my_symbols,26/04/2022,05/26/2022,01:52:00 PM
2022-03-25 13:51:00,130.72,130.73,130.68,130.7272,4335,my_symbols,26/04/2022,05/26/2022,01:51:00 PM
2022-03-25 13:50:00,130.74,130.745,130.72,130.72,2529,my_symbols,26/04/2022,05/26/2022,01:50:00 PM
2022-03-25 13:49:00,130.7118,130.75,130.69,130.745,3427,my_symbols,26/04/2022,05/26/2022,01:49:00 PM
2022-03-25 13:48:00,130.7,130.73,130.69,130.7101,8148,my_symbols,26/04/2022,05/26/2022,01:48:00 PM
2022-03-25 13:47:00,130.7,130.7,130.67,130.7,7220,my_symbols,26/04/2022,05/26/2022,01:47:00 PM
2022-03-25 13:46:00,130.7,130.73,130.69,130.71,9023,my_symbols,26/04/2022,05/26/2022,01:46:00 PM
2022-03-25 13:45:00,130.6391,130.69,130.6391,130.69,3112,my_symbols,26/04/2022,05/26/2022,01:45:00 PM
2022-03-25 13:44:00,130.6,130.6343,130.59,130.625,4195,my_symbols,26/04/2022,05/26/2022,01:44:00 PM
2022-03-25 13:43:00,130.58,130.625,130.5701,130.625,9719,my_symbols,26/04/2022,05/26/2022,01:43:00 PM
2022-03-25 13:42:00,130.68,130.68,130.58,130.58,3120,my_symbols,26/04/2022,05/26/2022,01:42:00 PM
2022-03-25 13:41:00,130.71,130.7123,130.65,130.67,4916,my_symbols,26/04/2022,05/26/2022,01:41:00 PM
2022-03-25 13:40:00,130.671,130.715,130.671,130.71,2004,my_symbols,26/04/2022,05/26/2022,01:40:00 PM
2022-03-25 13:39:00,130.605,130.71,130.6,130.71,9081,my_symbols,26/04/2022,05/26/2022,01:39:00 PM
2022-03-25 13:38:00,130.705,130.72,130.63,130.63,3278,my_symbols,26/04/2022,05/26/2022,01:38:00 PM
2022-03-25 13:37:00,130.725,130.73,130.68,130.6801,2077,my_symbols,26/04/2022,05/26/2022,01:37:00 PM
2022-03-25 13:36:00,130.71,130.71,130.67,130.67,4885,my_symbols,26/04/2022,05/26/2022,01:36:00 PM
2022-03-25 13:35:00,130.69,130.705,130.67,130.705,2781,my_symbols,26/04/2022,05/26/2022,01:35:00 PM
2022-03-25 13:34:00,130.64,130.68,130.64,130.67,3885,my_symbols,26/04/2022,05/26/2022,01:34:00 PM
2022-03-25 13:33:00,130.64,130.65,130.62,130.64,3693,my_symbols,26/04/2022,05/26/2022,01:33:00 PM
2022-03-25 13:32:00,130.6367,130.64,130.6,130.64,4322,my_symbols,26/04/2022,05/26/2022,01:32:00 PM
2022-03-25 13:31:00,130.6071,130.64,130.6071,130.63,4396,my_symbols,26/04/2022,05/26/2022,01:31:00 PM
2022-03-25 13:30:00,130.56,130.595,130.56,130.595,6747,my_symbols,26/04/2022,05/26/2022,01:30:00 PM
2022-03-25 13:29:00,130.54,130.545,130.53,130.545,2440,my_symbols,26/04/2022,05/26/2022,01:29:00 PM
2022-03-25 13:28:00,130.54,130.54,130.51,130.525,2613,my_symbols,26/04/2022,05/26/2022,01:28:00 PM
2022-03-25 13:27:00,130.52,130.54,130.52,130.52,3282,my_symbols,26/04/2022,05/26/2022,01:27:00 PM
2022-03-25 13:26:00,130.49,130.555,130.49,130.525,4430,my_symbols,26/04/2022,05/26/2022,01:26:00 PM
2022-03-25 13:25:00,130.46,130.48,130.44,130.475,4234,my_symbols,26/04/2022,05/26/2022,01:25:00 PM
2022-03-25 13:24:00,130.44,130.45,130.4,130.45,2159,my_symbols,26/04/2022,05/26/2022,01:24:00 PM
2022-03-25 13:23:00,130.52,130.53,130.45,130.46,6160,my_symbols,26/04/2022,05/26/2022,01:23:00 PM
2022-03-25 13:22:00,130.65,130.65,130.5,130.5,11577,my_symbols,26/04/2022,05/26/2022,01:22:00 PM
2022-03-25 13:21:00,130.61,130.66,130.61,130.64,3484,my_symbols,26/04/2022,05/26/2022,01:21:00 PM
2022-03-25 13:20:00,130.58,130.6,130.58,130.59,1783,my_symbols,26/04/2022,05/26/2022,01:20:00 PM
2022-03-25 13:19:00,130.56,130.597,130.56,130.56,7200,my_symbols,26/04/2022,05/26/2022,01:19:00 PM
2022-03-25 13:18:00,130.53,130.55,130.53,130.55,731,my_symbols,26/04/2022,05/26/2022,01:18:00 PM
2022-03-25 13:17:00,130.56,130.57,130.53,130.5393,3530,my_symbols,26/04/2022,05/26/2022,01:17:00 PM
2022-03-25 13:16:00,130.53,130.5902,130.53,130.565,5286,my_symbols,26/04/2022,05/26/2022,01:16:00 PM
2022-03-25 13:15:00,130.53,130.53,130.4904,130.5288,1700,my_symbols,26/04/2022,05/26/2022,01:15:00 PM
