time,open,high,low,close,volume,symbols,date-first,month-first,minutes
2022-03-25 10:10:00,130.86,130.86,130.79,130.86,6022,my_symbols,26/04/2022,05/26/2022,10:10:00 AM
2022-03-25 10:09:00,130.71,130.88,130.67,130.83,16496,my_symbols,26/04/2022,05/26/2022,10:09:00 AM
2022-03-25 10:08:00,130.82,130.866,130.66,130.69,17262,my_symbols,26/04/2022,05/26/2022,10:08:00 AM
2022-03-25 10:07:00,130.9757,131.04,130.82,130.82,8125,my_symbols,26/04/2022,05/26/2022,10:07:00 AM
2022-03-25 10:06:00,131.155,131.155,130.98,131.002,12768,my_symbols,26/04/2022,05/26/2022,10:06:00 AM
2022-03-25 10:05:00,131.105,131.2,131.105,131.1793,12182,my_symbols,26/04/2022,05/26/2022,10:05:00 AM
2022-03-25 10:04:00,131.0573,131.2,131.0573,131.11,9802,my_symbols,26/04/2022,05/26/2022,10:04:00 AM
2022-03-25 10:03:00,131.35,131.375,131.07,131.085,8229,my_symbols,26/04/2022,05/26/2022,10:03:00 AM
2022-03-25 10:02:00,131.15,131.31,131.13,131.31,19439,my_symbols,26/04/2022,05/26/2022,10:02:00 AM
2022-03-25 10:01:00,131.15,131.24,131.08,131.08,17681,my_symbols,26/04/2022,05/26/2022,10:01:00 AM
2022-03-25 10:00:00,131.23,131.23,131.16,131.195,11968,my_symbols,26/04/2022,05/26/2022,10:00:00 AM
2022-03-25 09:59:00,131.145,131.2894,131.145,131.24,9830,my_symbols,26/04/2022,05/26/2022,09:59:00 AM
2022-03-25 09:58:00,130.98,131.2,130.9,131.13,24419,my_symbols,26/04/2022,05/26/2022,09:58:00 AM
2022-03-25 09:57:00,130.97,131.01,130.94,130.94,6163,my_symbols,26/04/2022,05/26/2022,09:57:00 AM
2022-03-25 09:56:00,130.93,130.98,130.87,130.969,7717,my_symbols,26/04/2022,05/26/2022,09:56:00 AM
2022-03-25 09:55:00,130.82,131.0279,130.82,130.9457,18428,my_symbols,26/04/2022,05/26/2022,09:55:00 AM
2022-03-25 09:54:00,130.69,130.85,130.69,130.8159,14547,my_symbols,26/04/2022,05/26/2022,09:54:00 AM
2022-03-25 09:53:00,130.5301,130.7,130.5301,130.685,7995,my_symbols,26/04/2022,05/26/2022,09:53:00 AM
2022-03-25 09:52:00,130.53,130.6,130.4401,130.505,6364,my_symbols,26/04/2022,05/26/2022,09:52:00 AM
2022-03-25 09:51:00,130.58,130.6128,130.51,130.52,6691,my_symbols,26/04/2022,05/26/2022,09:51:00 AM
2022-03-25 09:50:00,130.45,130.565,130.44,130.55,11464,my_symbols,26/04/2022,05/26/2022,09:50:00 AM
2022-03-25 09:49:00,130.45,130.49,130.395,130.47,6413,my_symbols,26/04/2022,05/26/2022,09:49:00 AM
2022-03-25 09:48:00,130.5,130.5,130.355,130.415,6848,my_symbols,26/04/2022,05/26/2022,09:48:00 AM
2022-03-25 09:47:00,130.4,130.53,130.38,130.47,14613,my_symbols,26/04/2022,05/26/2022,09:47:00 AM
2022-03-25 09:46:00,130.165,130.292,130.1,130.292,7193,my_symbols,26/04/2022,05/26/2022,09:46:00 AM
2022-03-25 09:45:00,130.12,130.275,130.12,130.1992,4942,my_symbols,26/04/2022,05/26/2022,09:45:00 AM
2022-03-25 09:44:00,130.06,130.22,130.02,130.22,8613,my_symbols,26/04/2022,05/26/2022,09:44:00 AM
2022-03-25 09:43:00,130.18,130.3055,130.069,130.069,11731,my_symbols,26/04/2022,05/26/2022,09:43:00 AM
2022-03-25 09:42:00,130.1576,130.355,130.1576,130.22,11057,my_symbols,26/04/2022,05/26/2022,09:42:00 AM
2022-03-25 09:41:00,130.15,130.23,129.97,130.15,7589,my_symbols,26/04/2022,05/26/2022,09:41:00 AM
2022-03-25 09:40:00,130.24,130.27,130.125,130.16,6295,my_symbols,26/04/2022,05/26/2022,09:40:00 AM
2022-03-25 09:39:00,130.29,130.42,130.26,130.27,19388,my_symbols,26/04/2022,05/26/2022,09:39:00 AM
2022-03-25 09:38:00,130.29,130.38,130.13,130.3794,20959,my_symbols,26/04/2022,05/26/2022,09:38:00 AM
2022-03-25 09:37:00,130.19,130.34,130.18,130.34,8596,my_symbols,26/04/2022,05/26/2022,09:37:00 AM
2022-03-25 09:36:00,130.145,130.35,130.0675,130.28,19205,my_symbols,26/04/2022,05/26/2022,09:36:00 AM
2022-03-25 09:35:00,129.89,130.1253,129.81,130.1253,34749,my_symbols,26/04/2022,05/26/2022,09:35:00 AM
2022-03-25 09:34:00,129.63,129.95,129.63,129.93,9407,my_symbols,26/04/2022,05/26/2022,09:34:00 AM
2022-03-25 09:33:00,129.56,129.798,129.56,129.665,10296,my_symbols,26/04/2022,05/26/2022,09:33:00 AM
2022-03-25 09:32:00,129.4799,129.56,129.37,129.55,3049,my_symbols,26/04/2022,05/26/2022,09:32:00 AM
2022-03-25 09:31:00,129.5,129.7492,129.31,129.315,59986,my_symbols,26/04/2022,05/26/2022,09:31:00 AM
